name,l,b,n16,n50,n84,f16,f50,f84,m16,m50,m84,d16,d50,d84,p16,p50,p84,sfore16,sfore50,sfore84,sback16,sback50,sback84,mdwarf,new,Extinction,X,Y,Z,Vrad_observed,Vrad_observed_err,Vrad_predicted,Odds,ra,dec,rawwt
CB28,204.0,-25.3,0.5971,0.618,0.6392,0.122,0.1273,0.132,7.8379,8.0025,8.1711,369,398,430,0.0331,0.0408,0.0497,0.0226,0.0283,0.0357,0.0423,0.045,0.0479,0,1,0.52,-328,-146,-170,,,3.7,21.23276085,76.40797989,-4.01064805,256.40797989
CB29,205.8,-21.6,0.6808,0.6909,0.7008,0.178,0.1811,0.1838,7.8084,7.8691,7.927,364,374,384,0.0216,0.0261,0.0313,0.0321,0.0386,0.0461,0.0324,0.0341,0.0359,0,1,0.73,-313,-151,-137,11.3,0.288,3.8,22.99097151,80.45936269,-3.733876872,260.45936269000003
CMa_OB1,222.9,-1.9,0.4654,0.4677,0.4697,0.2153,0.2171,0.2187,10.3286,10.3396,10.3798,1163,1169,1191,0.0157,0.0182,0.021,0.0272,0.0291,0.0311,0.1066,0.1082,0.1097,0,0,2.73,-855,-795,-38,17.9,0.123,16.1,17.67848715,105.7312471,-9.734910526,285.7312471
CMa_OB1,225.0,-0.2,0.4737,0.4755,0.4773,0.2517,0.2533,0.255,10.5089,10.5124,10.5185,1264,1266,1269,0.0286,0.0337,0.0392,0.0514,0.0546,0.058,0.0796,0.0812,0.0829,0,0,3.15,-895,-895,-4,16.8,0.18,17.6,16.3327364,108.2472138,-10.81646896,288.2472138
CMa_OB1,224.5,-0.2,0.4598,0.4615,0.4631,0.1956,0.1968,0.198,10.4842,10.507,10.5181,1249,1262,1269,0.0275,0.0312,0.0357,0.0408,0.0434,0.0463,0.0707,0.0722,0.0736,0,0,2.5,-900,-884,-4,15.0,0.267,17.5,17.29994546,108.0115755,-10.37335616,288.0115755
CMa_OB1,225.4,0.3,0.482,0.4836,0.4854,0.1572,0.1581,0.1591,10.51,10.5158,10.5178,1264,1268,1269,0.0119,0.0138,0.016,0.0292,0.0312,0.0331,0.0637,0.0647,0.0657,0,0,1.94,-890,-902,6,16.5,0.815,17.6,15.83253971,108.8873,-10.93844859,288.8873
Cam,148.4,17.7,0.7399,0.7503,0.7598,0.0824,0.0843,0.0859,7.756,7.8161,7.917,355,365,383,0.0134,0.0164,0.0199,0.0355,0.0418,0.0491,0.0384,0.0402,0.0418,0,0,0.83,-296,182,110,-2.6,0.758,-4.3,2.243438857,86.32665837,64.70247232,266.32665837
Cam,146.1,17.7,0.5476,0.5532,0.559,0.105,0.1076,0.1094,6.7884,6.8638,6.9382,227,235,244,0.0191,0.0233,0.0286,0.0343,0.0438,0.0557,0.0492,0.0513,0.0536,0,0,1.22,-185,124,71,0.3,0.055,-2.8,16.95832026,83.89714831,66.65216033,263.89714831000003
Cam,144.8,17.8,0.7001,0.7075,0.7153,0.0967,0.0992,0.1009,6.6667,6.7147,6.8281,215,220,232,0.0124,0.015,0.0185,0.0448,0.0576,0.0714,0.0366,0.0382,0.0397,0,0,1.0,-171,120,67,-1.0,0.114,-2.7,16.47769179,82.60712228,67.78952778,262.60712228
Cam,148.8,17.8,0.7826,0.793,0.8029,0.0793,0.081,0.0825,7.7553,7.8316,7.8929,355,368,378,0.0124,0.015,0.0181,0.0311,0.0369,0.0441,0.0347,0.0363,0.0378,0,0,0.78,-299,181,112,-2.6,0.322,-4.3,1.999419289,86.92701148,64.40482663,266.92701148000003
Cam,146.6,17.2,0.6398,0.6468,0.6539,0.0854,0.088,0.0895,6.5607,6.6642,6.7762,205,215,226,0.0152,0.0184,0.022,0.0285,0.0365,0.0491,0.0327,0.0344,0.036,0,0,0.92,-171,113,63,-0.2,0.099,-2.6,16.23825915,83.3625754,65.99531676,263.36257539999997
Cepheus,106.4,17.7,0.7142,0.7197,0.7252,0.1814,0.1838,0.1858,7.8561,7.8826,7.9108,372,377,382,0.0142,0.0176,0.0215,0.0298,0.0377,0.0485,0.0511,0.053,0.0551,0,0,1.83,-101,344,114,-6.8,0.109,-2.7,23.38936246,311.1420664,72.07165107,131.14206639999998
Cepheus,108.4,18.6,0.7243,0.7302,0.7354,0.2002,0.2029,0.2051,7.4939,7.607,7.8011,315,332,363,0.0245,0.0305,0.0373,0.0335,0.0416,0.0519,0.052,0.0544,0.0568,0,0,2.02,-99,298,105,-7.8,0.087,-2.6,22.35580713,312.3453815,74.14527805,132.34538149999997
Cepheus,103.5,13.5,0.6545,0.6587,0.6628,0.2052,0.2071,0.2091,7.7533,7.7792,7.8083,355,359,364,0.0215,0.0258,0.0313,0.024,0.0282,0.0332,0.0649,0.0671,0.0691,0,0,2.14,-81,339,83,3.1,0.042,-2.2,23.45506372,315.8949974,67.30171831,135.89499740000002
