name,l,b,n16,n50,n84,f16,f50,f84,m16,m50,m84,d16,d50,d84,p16,p50,p84,sfore16,sfore50,sfore84,sback16,sback50,sback84,Extinction,X,Y,Z,Vrad_observed,Vrad_observed_err,Vrad_predicted,ra,dec,rawwt
Bridge_l215.0_b-19.8,215.0,-19.8,0.7714,0.7771,0.7827,0.1612,0.1992,0.2487,8.0885,8.1452,8.225,414,425,441,0.0375,0.0481,0.0604,0.021,0.026,0.0323,0.0562,0.0601,0.0641,3.35,-328,-229,-144,3.9,0.078,5.2,85.9418932997899,-10.642311430375585,265.9418932997899
Bridge_l202.0_b-10.9,202.0,-10.9,0.7122,0.7149,0.7177,0.1687,0.2103,0.2784,8.1446,8.1588,8.201,425,428,436,0.0193,0.0235,0.0284,0.0241,0.0292,0.0377,0.0517,0.0536,0.0557,3.52,-389,-157,-80,8.3,0.093,4.0,88.14450496116166,4.560409961443881,268.14450496116166
Bridge_l222.8_b-6.0,222.8,-6.0,0.496,0.498,0.5001,0.1637,0.1649,0.166,10.2459,10.2569,10.2869,1119,1125,1141,0.0152,0.0178,0.0208,0.0652,0.0695,0.0736,0.0588,0.0601,0.0614,1.98,-821,-760,-117,17.0,0.179,15.5,101.9642399864182,-11.49918751842852,281.9642399864182
Bridge_l130.1_b13.8,130.1,13.8,0.4903,0.4978,0.5054,0.0922,0.0945,0.097,7.3211,7.4037,7.4298,291,302,306,0.0202,0.0256,0.0329,0.0291,0.0346,0.0389,0.0384,0.041,0.0437,1.14,-189,224,72,-1.9,0.012,-4.0,40.94674488197331,75.08534883362773,220.9467448819733
Bridge_l149.3_b3.1,149.3,3.1,0.3318,0.3366,0.3414,0.0971,0.1006,0.1042,6.5512,6.5772,6.6212,204,206,210,0.0789,0.095,0.1129,0.0397,0.0454,0.052,0.0642,0.0673,0.0706,1.78,-177,105,11,3.1,0.009,-2.5,63.80586090066853,55.173520666901176,243.80586090066853
Bridge_l216.6_b-15.5,216.6,-15.5,0.6381,0.6437,0.649,0.1969,0.1995,0.2019,9.4143,9.5175,9.5345,763,800,807,0.0205,0.0255,0.0314,0.0917,0.099,0.1069,0.0654,0.068,0.0706,2.08,-619,-460,-213,11.9,0.053,10.2,90.55647452312142,-10.178980549982311,270.55647452312144
Bridge_l222.4_b-6.4,222.4,-6.4,0.5621,0.564,0.5659,0.1946,0.1955,0.1966,10.1855,10.1992,10.2344,1089,1096,1113,0.0104,0.0124,0.0147,0.0833,0.0877,0.0924,0.0467,0.0478,0.0488,2.18,-804,-734,-122,nan,nan,15.0,101.41807699292421,-11.32166468233423,281.4180769929242
Bridge_l223.7_b-4.6,223.7,-4.6,0.5465,0.5482,0.5501,0.2395,0.2407,0.242,10.196,10.2087,10.2177,1094,1100,1105,0.0228,0.0269,0.0312,0.0289,0.0315,0.0342,0.0622,0.0636,0.0651,2.73,-793,-758,-88,12.3,0.314,15.2,103.65183061682713,-11.672296081112208,283.6518306168271
Bridge_l205.3_b-5.9,205.3,-5.9,0.5347,0.5377,0.5405,0.1865,0.1881,0.1897,8.4866,8.5172,8.5622,498,505,515,0.0212,0.0257,0.0306,0.0254,0.0293,0.0343,0.0615,0.0633,0.065,2.16,-454,-214,-51,10.6,0.101,5.4,94.11068469706274,4.054210352235685,274.11068469706277
Bridge_l154.8_b-15.1,154.8,-15.1,0.6921,0.7017,0.7108,0.1112,0.1134,0.1155,7.2339,7.2609,7.2853,279,283,286,0.0318,0.0404,0.0494,0.0319,0.036,0.0411,0.0381,0.0408,0.0437,1.15,-247,116,-73,1.4,0.014,-2.9,52.94102803484505,37.65849510209869,232.94102803484503
